MONTH,DAY,STATION,DIRECTION,TIME_05,TIME_06,TIME_07,TIME_08,TIME_09,TIME_10,TIME_11,TIME_12,TIME_13,TIME_14,TIME_15,TIME_16,TIME_17,TIME_18,TIME_19,TIME_20,TIME_21,TIME_22,TIME_23,TIME_24
1,화,거여,상선,20.1,22.35,51.3,54.55,32.1,22.4,17.65,19.1,17.55,16.05,15.25,20.65,15,17.4,11.35,7.75,6.95,5.4,2.8,0.75
1,화,거여,하선,0.7,2.65,2.3,7.85,3.2,3.25,4.75,6.25,6.25,7.2,10.4,14.5,9.85,17.2,14.6,11.7,11.75,10.25,7.25,3.55
1,화,둔촌동,상선,22.2,30.15,64.85,67.7,51.05,43.05,37.25,40.35,38.6,35,41.65,58.65,58,75,54.05,32.45,30.05,33.9,14.95,6.35
1,화,둔촌동,하선,10.8,22.3,45.6,94.75,31.75,23.7,28.9,34.3,36.3,33.95,38.75,48.4,34.1,57.85,42.4,36.95,33.75,32.05,20.2,10.35
1,화,마천,상선,10.4,11.3,23.1,23.7,13.2,8.95,7.5,8.2,7.25,7.2,5.85,7.7,5.55,7.4,3.9,3.15,2.45,1.95,0.9,0.25
1,화,마천,하선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,화,방이,상선,22.1,28.15,64.45,66.9,48.95,37.1,29.85,33.25,33.25,28,33.15,46.2,44.6,69,44.4,27.6,25.5,26.5,11.05,2.45
1,화,방이,하선,9.3,17.55,30.2,65.15,22.6,16.8,21.9,25.75,27.55,27.15,32.5,43.6,32.1,52.95,40.2,35.2,32.25,34.35,19.75,8.6
1,화,오금,상선,20.2,24.55,57.85,62.45,44.4,33.15,26.8,30.1,30.15,26.6,30.95,45.05,42.05,62,39.5,25,21.6,21.55,10.5,2.15
1,화,오금,하선,3,10.45,11.35,29.75,11.6,10.85,15.2,20.35,23,25.45,32.2,45.8,31.85,57.35,47.4,38.05,34.65,35.85,22.05,9.3
1,화,올림픽공원,상선,15.4,21.7,45.85,50.35,37.5,31.75,27.15,29.7,28.9,26.3,32.15,44.7,43.3,59.7,41.95,26.15,23.9,27.3,12.2,5.1
1,화,올림픽공원,하선,7.1,15.05,27.3,60.95,19.3,15.15,19.25,23.05,25,24.5,30.9,40.8,27.5,48.35,35.85,31,28.15,27.1,18.5,7.95
2,금,강동,상선,22.4,36.1,59.55,83.55,63,44.45,36.7,39.7,32.55,30.45,32.95,40.55,39.95,41.9,29.45,20.55,17.8,18.5,10.55,2.7
2,금,강동,하선,7.6,19.7,29.55,55.25,19.85,18.5,24.45,31.5,34.25,34.4,44.05,54.35,59.25,83.05,62.35,49.1,48.75,41.4,27.8,13.45
2,금,개롱,상선,22.6,24.25,58.7,62.6,38.15,27.7,21.9,23.75,21.95,19.85,19.5,28.55,21.15,24.05,15.8,10.65,9.55,8,3.8,0.95
2,금,개롱,하선,1.7,6.05,6.75,18.7,7.25,6.75,9.8,12.9,15.1,16.45,21.8,29.65,21.05,38.55,31.8,24.95,22.95,23.4,14.55,6.25
2,금,거여,상선,17.9,19.95,45.8,48.7,28.7,20,15.8,17.05,15.65,14.35,13.6,18.4,13.4,15.55,10.2,6.95,6.2,4.8,2.5,0.7
2,금,거여,하선,0.6,2.35,2.05,7,2.85,2.85,4.25,5.55,5.55,6.4,9.3,12.95,8.85,15.35,13.05,10.45,10.5,9.15,6.5,3.15
2,금,둔촌동,상선,20.3,27.55,59.25,61.85,46.65,39.3,34,36.9,35.25,31.95,38.1,53.6,52.95,68.5,49.4,29.6,27.45,30.95,13.7,5.85
2,금,둔촌동,하선,9.8,20.35,41.65,86.6,29.05,21.7,26.35,31.35,33.15,31,35.4,44.2,31.2,52.9,38.75,33.75,30.85,29.25,18.45,9.45
2,금,마천,상선,9.4,10.25,20.9,21.4,11.9,8.1,6.75,7.4,6.5,6.45,5.25,6.9,5,6.65,3.55,2.85,2.2,1.8,0.85,0.25
2,금,마천,하선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,금,방이,상선,19.8,25.25,57.7,59.9,43.8,33.2,26.7,29.75,29.8,25,29.7,41.35,39.9,61.75,39.7,24.75,22.85,23.7,9.85,2.2
2,금,방이,하선,8.3,15.7,27.05,58.3,20.2,15,19.6,23.1,24.65,24.3,29.1,39,28.75,47.4,36,31.55,28.9,30.7,17.65,7.7
2,금,오금,상선,17.8,21.65,50.95,55.05,39.15,29.2,23.6,26.5,26.55,23.4,27.25,39.7,37.05,54.6,34.85,22,19.05,19,9.25,1.9
2,금,오금,하선,2.7,9.2,9.95,26.2,10.2,9.5,13.4,17.95,20.3,22.4,28.35,40.4,28.05,50.5,41.75,33.55,30.55,31.6,19.4,8.15
2,금,올림픽공원,상선,15.5,21.85,46.25,50.8,37.85,32,27.4,29.95,29.15,26.55,32.45,45.1,43.7,60.2,42.35,26.4,24.1,27.6,12.25,5.2
2,금,올림픽공원,하선,7.1,15.15,27.55,61.45,19.5,15.3,19.45,23.25,25.25,24.75,31.15,41.2,27.75,48.75,36.15,31.3,28.4,27.35,18.65,8.05
2,목,강동,상선,22.1,35.7,58.95,82.7,62.35,43.95,36.3,39.25,32.15,30.1,32.6,40.15,39.5,41.45,29.1,20.35,17.65,18.35,10.45,2.65
2,목,강동,하선,7.5,19.5,29.2,54.65,19.65,18.3,24.15,31.15,33.9,34,43.6,53.8,58.6,82.15,61.65,48.55,48.2,40.95,27.45,13.3
2,목,개롱,상선,22.4,24,58.1,61.95,37.75,27.45,21.7,23.55,21.75,19.65,19.3,28.3,20.95,23.85,15.65,10.55,9.45,7.9,3.75,0.95
2,목,개롱,하선,1.7,6,6.65,18.5,7.15,6.65,9.7,12.8,15,16.3,21.6,29.35,20.85,38.1,31.45,24.75,22.75,23.2,14.4,6.2
2,목,거여,상선,17.8,19.85,45.45,48.4,28.45,19.9,15.7,16.95,15.55,14.3,13.5,18.3,13.3,15.45,10.1,6.95,6.15,4.8,2.5,0.7
